组合码,国家,省州,市县,纬度,经度,人口数
"Hawkins, Tennessee, US",US,Tennessee,Hawkins,36.44355426,-82.94885298,56786
"Haywood, Tennessee, US",US,Tennessee,Haywood,35.58332824,-89.28536625,17304
"Henderson, Tennessee, US",US,Tennessee,Henderson,35.65581134,-88.38600175,28117
"Henry, Tennessee, US",US,Tennessee,Henry,36.33160906,-88.30121797,32345
"Hickman, Tennessee, US",US,Tennessee,Hickman,35.80609681,-87.47643507,25178
"Houston, Tennessee, US",US,Tennessee,Houston,36.28872054,-87.71878828,8201
"Humphreys, Tennessee, US",US,Tennessee,Humphreys,36.03958805,-87.77992872,18582
"Jackson, Tennessee, US",US,Tennessee,Jackson,36.36380466,-85.67239905,11786
"Jefferson, Tennessee, US",US,Tennessee,Jefferson,36.04818632,-83.45148924,54495
"Johnson, Tennessee, US",US,Tennessee,Johnson,36.4552395,-81.84886538,17788
"Knox, Tennessee, US",US,Tennessee,Knox,35.99508821,-83.94635435,470313
"Lake, Tennessee, US",US,Tennessee,Lake,36.3418017,-89.48921915,7016
"Lauderdale, Tennessee, US",US,Tennessee,Lauderdale,35.75893438,-89.6301591,25633
"Lawrence, Tennessee, US",US,Tennessee,Lawrence,35.21675201,-87.39787695,44142
"Lewis, Tennessee, US",US,Tennessee,Lewis,35.52853208,-87.49022694,12268
"Lincoln, Tennessee, US",US,Tennessee,Lincoln,35.13738622,-86.58910106,34366
"Loudon, Tennessee, US",US,Tennessee,Loudon,35.73939663,-84.31145275,54068
"McMinn, Tennessee, US",US,Tennessee,McMinn,35.42812616,-84.61520715,53794
"McNairy, Tennessee, US",US,Tennessee,McNairy,35.17468549,-88.5647812,25694
"Macon, Tennessee, US",US,Tennessee,Macon,36.53157855,-86.00778595,24602
"Madison, Tennessee, US",US,Tennessee,Madison,35.61181957,-88.84076036,97984
"Marion, Tennessee, US",US,Tennessee,Marion,35.12997174,-85.62265895,28907
"Marshall, Tennessee, US",US,Tennessee,Marshall,35.45798777,-86.76420988,34375
"Maury, Tennessee, US",US,Tennessee,Maury,35.6187413,-87.07462444,96387
"Meigs, Tennessee, US",US,Tennessee,Meigs,35.51558739,-84.81482914,12422
"Monroe, Tennessee, US",US,Tennessee,Monroe,35.44550387,-84.24902965,46545
"Montgomery, Tennessee, US",US,Tennessee,Montgomery,36.49609412,-87.38550661,208993
"Moore, Tennessee, US",US,Tennessee,Moore,35.27724699,-86.36230578,6488
"Morgan, Tennessee, US",US,Tennessee,Morgan,36.13248031,-84.64880098,21403
"Obion, Tennessee, US",US,Tennessee,Obion,36.35732446,-89.14921589,30069
"Overton, Tennessee, US",US,Tennessee,Overton,36.34117832,-85.28989535,22241
"Perry, Tennessee, US",US,Tennessee,Perry,35.63708728,-87.86139634,8076
"Pickett, Tennessee, US",US,Tennessee,Pickett,36.55606529,-85.077633,5048
"Polk, Tennessee, US",US,Tennessee,Polk,35.12245443,-84.52075859,16832
"Putnam, Tennessee, US",US,Tennessee,Putnam,36.14005459,-85.50646123,80245
"Rhea, Tennessee, US",US,Tennessee,Rhea,35.60536161,-84.93076643,33167
"Roane, Tennessee, US",US,Tennessee,Roane,35.84923189,-84.52458689,53382
"Robertson, Tennessee, US",US,Tennessee,Robertson,36.52454807,-86.87346725,71813
"Rutherford, Tennessee, US",US,Tennessee,Rutherford,35.84591405,-86.4107263,332285
"Scott, Tennessee, US",US,Tennessee,Scott,36.42325673,-84.50360494,22068
"Sequatchie, Tennessee, US",US,Tennessee,Sequatchie,35.36979721,-85.41022136,15026
"Sevier, Tennessee, US",US,Tennessee,Sevier,35.78077323,-83.52244332,98250
"Shelby, Tennessee, US",US,Tennessee,Shelby,35.1864775,-89.89692423,937166
"Smith, Tennessee, US",US,Tennessee,Smith,36.25359775,-85.95411046,20157
"Stewart, Tennessee, US",US,Tennessee,Stewart,36.50235092,-87.83920548,13715
"Sullivan, Tennessee, US",US,Tennessee,Sullivan,36.51240691,-82.30412917,158348
"Sumner, Tennessee, US",US,Tennessee,Sumner,36.46824103,-86.45917204,191283
"Tipton, Tennessee, US",US,Tennessee,Tipton,35.501942,-89.73694895,61599
"Trousdale, Tennessee, US",US,Tennessee,Trousdale,36.39026213,-86.16087954,11284
"Unicoi, Tennessee, US",US,Tennessee,Unicoi,36.10890856,-82.43709629,17883
"Union, Tennessee, US",US,Tennessee,Union,36.28590426,-83.83651902,19972
"Van Buren, Tennessee, US",US,Tennessee,Van Buren,35.69864497,-85.45221699,5872
"Warren, Tennessee, US",US,Tennessee,Warren,35.6728299,-85.77969117,41277
"Washington, Tennessee, US",US,Tennessee,Washington,36.29472368,-82.4945472,129375
"Wayne, Tennessee, US",US,Tennessee,Wayne,35.23868267,-87.78644456,16673
"Weakley, Tennessee, US",US,Tennessee,Weakley,36.29896232,-88.71990865,33328
"White, Tennessee, US",US,Tennessee,White,35.92929884,-85.45591799,27345
"Williamson, Tennessee, US",US,Tennessee,Williamson,35.89099229,-86.89281867,238412
"Wilson, Tennessee, US",US,Tennessee,Wilson,36.15496772,-86.29775884,144657
"Anderson, Texas, US",US,Texas,Anderson,31.81534745,-95.65354823,57735
"Andrews, Texas, US",US,Texas,Andrews,32.30468633,-102.6376548,18705
"Angelina, Texas, US",US,Texas,Angelina,31.25457347,-94.60901487,86715
"Aransas, Texas, US",US,Texas,Aransas,28.10556197,-96.9995047,23510
"Archer, Texas, US",US,Texas,Archer,33.61569967,-98.68754589,8553
"Armstrong, Texas, US",US,Texas,Armstrong,34.96507426,-101.3574874,1887
"Atascosa, Texas, US",US,Texas,Atascosa,28.89333001,-98.52730485,51153
"Austin, Texas, US",US,Texas,Austin,29.88548725,-96.27736949,30032
"Bailey, Texas, US",US,Texas,Bailey,34.06854817,-102.8299707,7000
"Bandera, Texas, US",US,Texas,Bandera,29.74619598,-99.24598147,23112
"Bastrop, Texas, US",US,Texas,Bastrop,30.10370699,-97.31206354,88723
"Baylor, Texas, US",US,Texas,Baylor,33.61640794,-99.21352901,3509
"Bee, Texas, US",US,Texas,Bee,28.41761668,-97.74215593,32565
"Bell, Texas, US",US,Texas,Bell,31.03736027,-97.4785025,362924
"Bexar, Texas, US",US,Texas,Bexar,29.44928723,-98.52019748,2003554
"Blanco, Texas, US",US,Texas,Blanco,30.26640707,-98.3999852,11931
"Borden, Texas, US",US,Texas,Borden,32.74363984,-101.4316509,654
"Bosque, Texas, US",US,Texas,Bosque,31.89978581,-97.63613524,18685
"Bowie, Texas, US",US,Texas,Bowie,33.44626922,-94.41834132,93245
"Brazoria, Texas, US",US,Texas,Brazoria,29.18757369,-95.44563172,374264
"Brazos, Texas, US",US,Texas,Brazos,30.6636448,-96.30205577,229211
"Brewster, Texas, US",US,Texas,Brewster,29.81008251,-103.2520326,9203
"Briscoe, Texas, US",US,Texas,Briscoe,34.53026962,-101.2084947,1546
"Brooks, Texas, US",US,Texas,Brooks,27.03103197,-98.21808402,7093
"Brown, Texas, US",US,Texas,Brown,31.77430356,-98.99907113,37864
"Burleson, Texas, US",US,Texas,Burleson,30.49273808,-96.62158484,18443
"Burnet, Texas, US",US,Texas,Burnet,30.78801353,-98.181887,48155
"Caldwell, Texas, US",US,Texas,Caldwell,29.83668859,-97.61814775,43664
"Calhoun, Texas, US",US,Texas,Calhoun,28.47048236,-96.61633945,21290
"Callahan, Texas, US",US,Texas,Callahan,32.29760619,-99.37326312,13943
"Cameron, Texas, US",US,Texas,Cameron,26.14524221,-97.48140372,423163
"Camp, Texas, US",US,Texas,Camp,32.97195142,-94.97790104,13094
"Carson, Texas, US",US,Texas,Carson,35.40365929,-101.3542669,5926
"Cass, Texas, US",US,Texas,Cass,33.07499881,-94.34646905,30026
"Castro, Texas, US",US,Texas,Castro,34.53016752,-102.2617243,7530
"Chambers, Texas, US",US,Texas,Chambers,29.70972016,-94.67154501,43837
"Cherokee, Texas, US",US,Texas,Cherokee,31.837258,-95.16559897,52646
"Childress, Texas, US",US,Texas,Childress,34.5293041,-100.2077916,7306
"Clay, Texas, US",US,Texas,Clay,33.78686685,-98.20771198,10471
"Cochran, Texas, US",US,Texas,Cochran,33.60425307,-102.8284499,2853
"Coke, Texas, US",US,Texas,Coke,31.88911733,-100.5297533,3387
"Coleman, Texas, US",US,Texas,Coleman,31.76736834,-99.45240766,8175
"Collin, Texas, US",US,Texas,Collin,33.18820114,-96.57264368,1034730
"Collingsworth, Texas, US",US,Texas,Collingsworth,34.96489496,-100.2700111,2920
"Colorado, Texas, US",US,Texas,Colorado,29.622098,-96.5273805,21493
"Comal, Texas, US",US,Texas,Comal,29.80811278,-98.27647225,156209
"Comanche, Texas, US",US,Texas,Comanche,31.94854689,-98.55876441,13635
"Concho, Texas, US",US,Texas,Concho,31.32635934,-99.86473038,2726
"Cooke, Texas, US",US,Texas,Cooke,33.63979567,-97.21240912,41257
"Coryell, Texas, US",US,Texas,Coryell,31.39078397,-97.79936155,75951
"Cottle, Texas, US",US,Texas,Cottle,34.07783319,-100.2785062,1398
"Crane, Texas, US",US,Texas,Crane,31.43052248,-102.5143314,4797
"Crockett, Texas, US",US,Texas,Crockett,30.72367027,-101.4134238,3464
"Crosby, Texas, US",US,Texas,Crosby,33.61431553,-101.3000364,5737
"Culberson, Texas, US",US,Texas,Culberson,31.44506775,-104.5185739,2171
"Dallam, Texas, US",US,Texas,Dallam,36.27787176,-102.6020725,7287
"Dallas, Texas, US",US,Texas,Dallas,32.76670599,-96.7779605,2635516
"Dawson, Texas, US",US,Texas,Dawson,32.74255572,-101.9477242,12728
"Deaf Smith, Texas, US",US,Texas,Deaf Smith,34.96522957,-102.6054267,18546
"Delta, Texas, US",US,Texas,Delta,33.38570922,-95.66921122,5331
"Denton, Texas, US",US,Texas,Denton,33.20521901,-97.11691153,887207
"DeWitt, Texas, US",US,Texas,DeWitt,29.08101855,-97.3568117,20160
"Dickens, Texas, US",US,Texas,Dickens,33.61616822,-100.7788855,2211
"Dimmit, Texas, US",US,Texas,Dimmit,28.42270064,-99.75645095,10124
"Donley, Texas, US",US,Texas,Donley,34.96517499,-100.8140093,3278
"Duval, Texas, US",US,Texas,Duval,27.68184592,-98.50864568,11157
"Eastland, Texas, US",US,Texas,Eastland,32.32743996,-98.83243566,18360
"Ector, Texas, US",US,Texas,Ector,31.86898877,-102.5429428,166223
"Edwards, Texas, US",US,Texas,Edwards,29.98202582,-100.304252,1932
"Ellis, Texas, US",US,Texas,Ellis,32.34894117,-96.79371841,184826
"El Paso, Texas, US",US,Texas,El Paso,31.76980765,-106.2363275,839238
"Erath, Texas, US",US,Texas,Erath,32.23602653,-98.21773417,42698
"Falls, Texas, US",US,Texas,Falls,31.25350609,-96.93630086,17297
"Fannin, Texas, US",US,Texas,Fannin,33.59564294,-96.10751083,35514
"Fayette, Texas, US",US,Texas,Fayette,29.87788372,-96.92076062,25346
"Fisher, Texas, US",US,Texas,Fisher,32.74281316,-100.4019302,3830
"Floyd, Texas, US",US,Texas,Floyd,34.07227468,-101.3031546,5712
"Foard, Texas, US",US,Texas,Foard,33.97308618,-99.7767797,1155
"Fort Bend, Texas, US",US,Texas,Fort Bend,29.52704478,-95.77219463,811688
"Franklin, Texas, US",US,Texas,Franklin,33.17653242,-95.21917243,10725
"Freestone, Texas, US",US,Texas,Freestone,31.70422788,-96.15072516,19717
"Frio, Texas, US",US,Texas,Frio,28.86751206,-99.10804207,20306
"Gaines, Texas, US",US,Texas,Gaines,32.74055318,-102.6353295,21492
"Galveston, Texas, US",US,Texas,Galveston,29.40167322,-94.90469073,342139
"Garza, Texas, US",US,Texas,Garza,33.17969345,-101.2984114,6229
"Gillespie, Texas, US",US,Texas,Gillespie,30.31824095,-98.94676915,26988
"Glasscock, Texas, US",US,Texas,Glasscock,31.86942909,-101.5207776,1409
"Goliad, Texas, US",US,Texas,Goliad,28.65696592,-97.42760647,7658
"Gonzales, Texas, US",US,Texas,Gonzales,29.45634206,-97.49424032,20837
"Gray, Texas, US",US,Texas,Gray,35.40081878,-100.8129222,21886
"Grayson, Texas, US",US,Texas,Grayson,33.62744998,-96.67753461,136212
"Gregg, Texas, US",US,Texas,Gregg,32.47940482,-94.81591935,123945
"Grimes, Texas, US",US,Texas,Grimes,30.54579585,-95.98902499,28880
"Guadalupe, Texas, US",US,Texas,Guadalupe,29.58165339,-97.94786822,166847
"Hale, Texas, US",US,Texas,Hale,34.07044901,-101.8268114,33406
"Hall, Texas, US",US,Texas,Hall,34.5307555,-100.6813852,2964
"Hamilton, Texas, US",US,Texas,Hamilton,31.70470573,-98.11083887,8461
"Hansford, Texas, US",US,Texas,Hansford,36.27743284,-101.3545796,5399
"Hardeman, Texas, US",US,Texas,Hardeman,34.28944521,-99.74632408,3933
"Hardin, Texas, US",US,Texas,Hardin,30.33364686,-94.38931817,57602
"Harris, Texas, US",US,Texas,Harris,29.85864939,-95.39339521,4713325
"Harrison, Texas, US",US,Texas,Harrison,32.54935988,-94.36934071,66553
"Hartley, Texas, US",US,Texas,Hartley,35.84008013,-102.6029022,5576
"Haskell, Texas, US",US,Texas,Haskell,33.17823584,-99.73037358,5658
"Hays, Texas, US",US,Texas,Hays,30.05669873,-98.02944344,230191
"Hemphill, Texas, US",US,Texas,Hemphill,35.83764858,-100.2703577,3819
"Henderson, Texas, US",US,Texas,Henderson,32.21128872,-95.85846587,82737
"Hidalgo, Texas, US",US,Texas,Hidalgo,26.39418217,-98.18299696,868707
"Hill, Texas, US",US,Texas,Hill,31.99045053,-97.13423143,36649
"Hockley, Texas, US",US,Texas,Hockley,33.60771256,-102.3431676,23021
"Hood, Texas, US",US,Texas,Hood,32.42990927,-97.83242024,61643
"Hopkins, Texas, US",US,Texas,Hopkins,33.14875072,-95.56351139,37084
"Houston, Texas, US",US,Texas,Houston,31.31925973,-95.42226208,22968
"Howard, Texas, US",US,Texas,Howard,32.30621324,-101.4356444,36664
"Hudspeth, Texas, US",US,Texas,Hudspeth,31.45628381,-105.388178,4886
"Hunt, Texas, US",US,Texas,Hunt,33.12351514,-96.08551032,98594
"Hutchinson, Texas, US",US,Texas,Hutchinson,35.84006574,-101.3546643,20938
"Irion, Texas, US",US,Texas,Irion,31.30375559,-100.982439,1536
"Jack, Texas, US",US,Texas,Jack,33.23377248,-98.17283469,8935
"Jackson, Texas, US",US,Texas,Jackson,28.95472367,-96.57749563,14760
"Jasper, Texas, US",US,Texas,Jasper,30.74685667,-94.02667579,35529
"Jeff Davis, Texas, US",US,Texas,Jeff Davis,30.71490589,-104.1399973,2274
"Jefferson, Texas, US",US,Texas,Jefferson,29.8832777,-94.16434171,251565
"Jim Hogg, Texas, US",US,Texas,Jim Hogg,27.04453923,-98.6968187,5200
"Jim Wells, Texas, US",US,Texas,Jim Wells,27.73103938,-98.0904705,40482
"Johnson, Texas, US",US,Texas,Johnson,32.37877812,-97.36615819,175817
"Jones, Texas, US",US,Texas,Jones,32.73997145,-99.87861576,20083
"Karnes, Texas, US",US,Texas,Karnes,28.90705334,-97.85960149,15601
"Kaufman, Texas, US",US,Texas,Kaufman,32.5991417,-96.28734728,136154
"Kendall, Texas, US",US,Texas,Kendall,29.94414155,-98.7113588,47431
"Kenedy, Texas, US",US,Texas,Kenedy,26.92601662,-97.66413984,404
"Kent, Texas, US",US,Texas,Kent,33.18104136,-100.7780939,762
"Kerr, Texas, US",US,Texas,Kerr,30.06040006,-99.34930144,52600
"Kimble, Texas, US",US,Texas,Kimble,30.48678918,-99.74856473,4337
"King, Texas, US",US,Texas,King,33.61643847,-100.2558057,272
"Kinney, Texas, US",US,Texas,Kinney,29.34967888,-100.4186638,3667
"Kleberg, Texas, US",US,Texas,Kleberg,27.42435506,-97.69894948,30680
"Knox, Texas, US",US,Texas,Knox,33.60519951,-99.7422906,3664
"Lamar, Texas, US",US,Texas,Lamar,33.66981763,-95.57404777,49859
"Lamb, Texas, US",US,Texas,Lamb,34.06859623,-102.3516289,12893
"Lampasas, Texas, US",US,Texas,Lampasas,31.19531316,-98.24206613,21428
"La Salle, Texas, US",US,Texas,La Salle,28.34453111,-99.09908775,7520
"Lavaca, Texas, US",US,Texas,Lavaca,29.38508402,-96.93186692,20154
"Lee, Texas, US",US,Texas,Lee,30.31120597,-96.97045773,17239
"Leon, Texas, US",US,Texas,Leon,31.29872538,-95.9936328,17404
"Liberty, Texas, US",US,Texas,Liberty,30.15152688,-94.81205615,88219
"Limestone, Texas, US",US,Texas,Limestone,31.5454767,-96.58095444,23437
"Lipscomb, Texas, US",US,Texas,Lipscomb,36.27783108,-100.2733151,3233
"Live Oak, Texas, US",US,Texas,Live Oak,28.35101362,-98.1246786,12207
"Llano, Texas, US",US,Texas,Llano,30.70645047,-98.68475262,21795
"Loving, Texas, US",US,Texas,Loving,31.84947612,-103.5818571,169
"Lubbock, Texas, US",US,Texas,Lubbock,33.61008596,-101.8204789,310569
"Lynn, Texas, US",US,Texas,Lynn,33.17657705,-101.8162849,5951
"McCulloch, Texas, US",US,Texas,McCulloch,31.1925468,-99.34682807,7984
"McLennan, Texas, US",US,Texas,McLennan,31.55255453,-97.20217694,256623
"McMullen, Texas, US",US,Texas,McMullen,28.35251708,-98.56769164,743
"Madison, Texas, US",US,Texas,Madison,30.96694679,-95.93003775,14284
"Marion, Texas, US",US,Texas,Marion,32.79868409,-94.3566123,9854
"Martin, Texas, US",US,Texas,Martin,32.30600051,-101.9513518,5771
"Mason, Texas, US",US,Texas,Mason,30.71780434,-99.22629416,4274
"Matagorda, Texas, US",US,Texas,Matagorda,28.81955746,-96.01230294,36643
"Maverick, Texas, US",US,Texas,Maverick,28.7429195,-100.3157686,58722
"Medina, Texas, US",US,Texas,Medina,29.3557301,-99.11030298,51584
"Menard, Texas, US",US,Texas,Menard,30.88990665,-99.8204794,2138
"Midland, Texas, US",US,Texas,Midland,31.86904128,-102.0315682,176832
"Milam, Texas, US",US,Texas,Milam,30.7858183,-96.97718698,24823
"Mills, Texas, US",US,Texas,Mills,31.49557106,-98.59272068,4873
"Mitchell, Texas, US",US,Texas,Mitchell,32.30623474,-100.9212058,8545
"Montague, Texas, US",US,Texas,Montague,33.67521893,-97.72500958,19818
"Montgomery, Texas, US",US,Texas,Montgomery,30.30079133,-95.50572772,607391
"Moore, Texas, US",US,Texas,Moore,35.83769242,-101.8930281,20940
"Morris, Texas, US",US,Texas,Morris,33.11304005,-94.73255695,12388
"Motley, Texas, US",US,Texas,Motley,34.07408766,-100.779722,1200
"Nacogdoches, Texas, US",US,Texas,Nacogdoches,31.62017125,-94.61803994,65204
"Navarro, Texas, US",US,Texas,Navarro,32.04620681,-96.47428766,50113
"Newton, Texas, US",US,Texas,Newton,30.78548982,-93.74408813,13595
"Nolan, Texas, US",US,Texas,Nolan,32.30365282,-100.4060208,14714
"Nueces, Texas, US",US,Texas,Nueces,27.736286,-97.5433285,362294
"Ochiltree, Texas, US",US,Texas,Ochiltree,36.27829105,-100.8158184,9836
"Oldham, Texas, US",US,Texas,Oldham,35.40425596,-102.6027606,2112
"Orange, Texas, US",US,Texas,Orange,30.11879481,-93.89412775,83396
"Palo Pinto, Texas, US",US,Texas,Palo Pinto,32.75310985,-98.31319001,29189
"Panola, Texas, US",US,Texas,Panola,32.1639596,-94.30552481,23194
"Parker, Texas, US",US,Texas,Parker,32.77757172,-97.80500621,142878
"Parmer, Texas, US",US,Texas,Parmer,34.52993409,-102.7844668,9605
"Pecos, Texas, US",US,Texas,Pecos,30.78097267,-102.7241261,15823
"Polk, Texas, US",US,Texas,Polk,30.79472531,-94.8276624,51353
"Potter, Texas, US",US,Texas,Potter,35.40133773,-101.893964,117415
"Presidio, Texas, US",US,Texas,Presidio,29.99954402,-104.2408079,6704
"Rains, Texas, US",US,Texas,Rains,32.87109387,-95.79232691,12514
"Randall, Texas, US",US,Texas,Randall,34.96585996,-101.8971322,137713
"Reagan, Texas, US",US,Texas,Reagan,31.36607041,-101.5232659,3849
"Real, Texas, US",US,Texas,Real,29.83321503,-99.82018052,3452
"Red River, Texas, US",US,Texas,Red River,33.61886692,-95.04841765,12023
"Reeves, Texas, US",US,Texas,Reeves,31.32323325,-103.6903896,15976
"Refugio, Texas, US",US,Texas,Refugio,28.3238976,-97.15766311,6948
"Roberts, Texas, US",US,Texas,Roberts,35.83809685,-100.813175,854
"Robertson, Texas, US",US,Texas,Robertson,31.02539637,-96.51272246,17074
"Rockwall, Texas, US",US,Texas,Rockwall,32.89779518,-96.40771592,104915
"Runnels, Texas, US",US,Texas,Runnels,31.8314342,-99.97616148,10264
"Rusk, Texas, US",US,Texas,Rusk,32.10773545,-94.76176432,54406
"Sabine, Texas, US",US,Texas,Sabine,31.34318809,-93.85440451,10542
"San Augustine, Texas, US",US,Texas,San Augustine,31.39457611,-94.17000399,8237
"San Jacinto, Texas, US",US,Texas,San Jacinto,30.57933681,-95.16260304,28859
"San Patricio, Texas, US",US,Texas,San Patricio,28.00880118,-97.51763891,66730
"San Saba, Texas, US",US,Texas,San Saba,31.1577796,-98.81758731,6055
"Schleicher, Texas, US",US,Texas,Schleicher,30.89740592,-100.5384842,2793
"Scurry, Texas, US",US,Texas,Scurry,32.74613808,-100.9162664,16703
"Shackelford, Texas, US",US,Texas,Shackelford,32.73587756,-99.35401337,3265
"Shelby, Texas, US",US,Texas,Shelby,31.79211404,-94.14550696,25274
"Sherman, Texas, US",US,Texas,Sherman,36.27751473,-101.8933156,3022
"Smith, Texas, US",US,Texas,Smith,32.37474036,-95.2717568,232751
"Somervell, Texas, US",US,Texas,Somervell,32.22236802,-97.77403489,9128
"Starr, Texas, US",US,Texas,Starr,26.56150059,-98.73892358,64633
"Stephens, Texas, US",US,Texas,Stephens,32.73553157,-98.83631615,9366
"Sterling, Texas, US",US,Texas,Sterling,31.82781912,-101.0500746,1291
"Stonewall, Texas, US",US,Texas,Stonewall,33.17906744,-100.2538401,1350
"Sutton, Texas, US",US,Texas,Sutton,30.49856623,-100.5382014,3776
"Swisher, Texas, US",US,Texas,Swisher,34.53028891,-101.7349174,7397
"Tarrant, Texas, US",US,Texas,Tarrant,32.77143818,-97.29101614,2102515
"Taylor, Texas, US",US,Texas,Taylor,32.30163422,-99.89007449,138034
"Terrell, Texas, US",US,Texas,Terrell,30.22429013,-102.0766732,776
"Terry, Texas, US",US,Texas,Terry,33.17402785,-102.3354521,12337
"Throckmorton, Texas, US",US,Texas,Throckmorton,33.17751417,-99.21226795,1501
"Titus, Texas, US",US,Texas,Titus,33.21339719,-94.96797273,32750
"Tom Green, Texas, US",US,Texas,Tom Green,31.40464436,-100.462443,119200
"Travis, Texas, US",US,Texas,Travis,30.33432034,-97.7853562,1273954
"Trinity, Texas, US",US,Texas,Trinity,31.0879489,-95.1367187,14651
"Tyler, Texas, US",US,Texas,Tyler,30.77031716,-94.37690895,21672
"Upshur, Texas, US",US,Texas,Upshur,32.73706798,-94.93999853,41753
"Upton, Texas, US",US,Texas,Upton,31.36868194,-102.0423217,3657
"Uvalde, Texas, US",US,Texas,Uvalde,29.35739637,-99.76229172,26741
"Val Verde, Texas, US",US,Texas,Val Verde,29.89149232,-101.1525205,49025
"Van Zandt, Texas, US",US,Texas,Van Zandt,32.56483801,-95.83766469,56590
"Victoria, Texas, US",US,Texas,Victoria,28.79780988,-96.96813006,92084
"Walker, Texas, US",US,Texas,Walker,30.73872995,-95.57440968,72971
"Waller, Texas, US",US,Texas,Waller,30.01058447,-95.99011759,55246
"Ward, Texas, US",US,Texas,Ward,31.50999644,-103.0927909,11998
"Washington, Texas, US",US,Texas,Washington,30.21498498,-96.40946246,35882
"Webb, Texas, US",US,Texas,Webb,27.7610369,-99.33237355,276652
"Wharton, Texas, US",US,Texas,Wharton,29.27765923,-96.22319248,41556
"Wheeler, Texas, US",US,Texas,Wheeler,35.40114335,-100.2699514,5056
"Wichita, Texas, US",US,Texas,Wichita,33.98842886,-98.7041034,132230
"Wilbarger, Texas, US",US,Texas,Wilbarger,34.07945812,-99.24178437,12769
"Willacy, Texas, US",US,Texas,Willacy,26.47411727,-97.61535848,21358
"Williamson, Texas, US",US,Texas,Williamson,30.64655664,-97.6004854,590551
"Wilson, Texas, US",US,Texas,Wilson,29.1732598,-98.08693082,51070
"Winkler, Texas, US",US,Texas,Winkler,31.85008651,-103.0485163,8010
"Wise, Texas, US",US,Texas,Wise,33.21570665,-97.65460265,69984
"Wood, Texas, US",US,Texas,Wood,32.78722382,-95.38236368,45539
"Yoakum, Texas, US",US,Texas,Yoakum,33.17320212,-102.8276433,8713
"Young, Texas, US",US,Texas,Young,33.17659707,-98.68790885,18010
"Zapata, Texas, US",US,Texas,Zapata,27.00156391,-99.16987152,14179
"Zavala, Texas, US",US,Texas,Zavala,28.86617238,-99.76050829,11840
"Beaver, Utah, US",US,Utah,Beaver,38.35657051,-113.2342232,6710
"Box Elder, Utah, US",US,Utah,Box Elder,41.52106798,-113.0832816,56046
"Cache, Utah, US",US,Utah,Cache,41.72330587,-111.7443667,128289
"Carbon, Utah, US",US,Utah,Carbon,39.64834818,-110.5872512,20463
"Daggett, Utah, US",US,Utah,Daggett,40.88798265,-109.5121093,950
"Davis, Utah, US",US,Utah,Davis,40.99001837,-112.1139997,355481
"Duchesne, Utah, US",US,Utah,Duchesne,40.29772254,-110.425237,19938
"Emery, Utah, US",US,Utah,Emery,38.99617072,-110.7013958,10012
"Garfield, Utah, US",US,Utah,Garfield,37.85447192,-111.4418764,5051
"Grand, Utah, US",US,Utah,Grand,38.98103848,-109.5704487,9754
"Iron, Utah, US",US,Utah,Iron,37.8590362,-113.2897381,54839
"Juab, Utah, US",US,Utah,Juab,39.70208397,-112.7809245,12017
"Kane, Utah, US",US,Utah,Kane,37.28507306,-111.8861752,7886
"Millard, Utah, US",US,Utah,Millard,39.0729209,-113.1020328,13188
"Morgan, Utah, US",US,Utah,Morgan,41.08830262,-111.5727723,12124
"Piute, Utah, US",US,Utah,Piute,38.33815254,-112.1249591,1479
"Rich, Utah, US",US,Utah,Rich,41.63137678,-111.2445105,2483
"Salt Lake, Utah, US",US,Utah,Salt Lake,40.66616532,-111.9216011,1160437
"San Juan, Utah, US",US,Utah,San Juan,37.62762978,-109.8033714,15308
"Sanpete, Utah, US",US,Utah,Sanpete,39.37231946,-111.5758676,30939
"Sevier, Utah, US",US,Utah,Sevier,38.74837146,-111.8050275,21620
"Summit, Utah, US",US,Utah,Summit,40.86688146,-110.9535882,42145
"Tooele, Utah, US",US,Utah,Tooele,40.44862644,-113.1295715,72259
"Uintah, Utah, US",US,Utah,Uintah,40.12491499,-109.5174415,35734
"Utah, Utah, US",US,Utah,Utah,40.1166722,-111.6657662,636235
"Wasatch, Utah, US",US,Utah,Wasatch,40.33110236,-111.1691419,34091
"Washington, Utah, US",US,Utah,Washington,37.28003525,-113.504698,177556
"Wayne, Utah, US",US,Utah,Wayne,38.32335822,-110.9096801,2711
"Weber, Utah, US",US,Utah,Weber,41.27116049,-111.9145117,260213
"Addison, Vermont, US",US,Vermont,Addison,44.03217337,-73.14130877,36777
"Bennington, Vermont, US",US,Vermont,Bennington,43.03519828,-73.09048868,35470
"Caledonia, Vermont, US",US,Vermont,Caledonia,44.46548598,-72.10314651,29993
"Chittenden, Vermont, US",US,Vermont,Chittenden,44.46322849,-73.08359212,163774
"Essex, Vermont, US",US,Vermont,Essex,44.72736416,-71.73579864,6163
"Franklin, Vermont, US",US,Vermont,Franklin,44.85627605,-72.91249563,49402
"Grand Isle, Vermont, US",US,Vermont,Grand Isle,44.7975824,-73.29679772,7235
"Lamoille, Vermont, US",US,Vermont,Lamoille,44.60353043,-72.64356694,25362
"Orange, Vermont, US",US,Vermont,Orange,44.00470222,-72.37640104,28892
"Orleans, Vermont, US",US,Vermont,Orleans,44.82964024,-72.24562697,27037
"Rutland, Vermont, US",US,Vermont,Rutland,43.57723578,-73.03741676,58191
